Map			Zone																																																																									Connections								
				Type					Restrictions				Player towns					Neutral towns					Town types									Minimum mines							Mine Density							Terrain									Monsters												Treasure									Zones					Restrictions			
Name	Minimum Size	Maximum Size	Id	human start	computer start	Treasure	Junction	Base Size	Minimum human positions	Maximum human positions	Minimum total positions	Maximum total positions	Ownership	Minimum towns	Minimum castles	Town Density	Castle Density	Minimum towns	Minimum castles	Town Density	Castle Density	Towns are of same type	Castle	Rampart	Tower	Inferno	Necropolis	Dungeon	Stronghold	Fortress	Elemental	Wood	Mercury	Ore	Sulfur	Crystal	Gems	Gold	Wood	Mercury	Ore	Sulfur	Crystal	Gems	Gold	Match to town	Dirt	Sand	Grass	Snow	Swamp	Rough	Cave	Lava	Strength	Match to town	Neutral	Castle	Rampart	Tower	Inferno	Necropolis	Dungeon	Stronghold	Fortress	Forge	Low	High	Density	Low	High	Density	Low	High	Density	Zone 1	Zone 2	Value	Wide	Border Guard	Minimum human positions	Maximum human positions	Minimum total positions	Maximum total positions
8XM12_1p	16	32	1	x				10	1	1	2	8	1		1		4	1				x	x	x	x	x	x	x	x	x	x	2	1	2	1	1	1	3	3	3	3	3	3	3	3	x									avg		x	x	x	x	x	x	x	x	x	x	1000	5000	26	1000	20000	8	1000	80000	4	1	9	8000			1	1	2	8
			9			x		30	1	1	2	8																																					x				x		strong		x	x	x	x	x	x	x	x	x	x	40000	320000	32	320000	1280000	16	1280000	5120000	8	27	12	20000			1	1	2	8
			27			x		30	1	1	2	8						1					x	x	x	x	x	x	x	x	x							2	1	2	4	8	16	32	32				x				x		strong		x	x	x	x	x	x	x	x	x	x	4000	4000	16	4000	16000	8	4000	64000	4	27	1	4000			1	1	2	8
			12				x	30	1	1	2	8																																			x	x	x	x	x	x	x	x	strong		x	x	x	x	x	x	x	x	x	x	20000	1000000	3	15000	20000	6	10000	15000	9	12	13	40000			1	1	2	8
			13			x		15	1	1	2	8																																									x		strong		x	x	x	x	x	x	x	x	x	x	15000	1000000	3	10000	15000	6	3000	6000	9	13	14	20000			1	1	2	8
			14			x		15	1	1	2	8						1					x	x	x	x	x	x	x	x	x																x	x	x	x	x	x	x	x	strong		x	x	x	x	x	x	x	x	x	x	10000	1000000	3	3000	6000	6	500	3000	9	14	4	10000			1	1	2	8
			4		x			15	1	1	2	8	4		1		4	1				x	x	x	x	x	x	x	x	x	x	2	1	2	1	1	1	1	3	3	3	3	3	3	3	x									strong		x	x	x	x	x	x	x	x	x	x	10000	1000000	1	3000	6000	6	500	3000	9	4	15	80000			1	1	2	8
			15			x		20	1	1	2	8																																									x		strong		x	x	x	x	x	x	x	x	x	x	15000	1000000	3	10000	15000	6	3000	6000	9	15	16	20000			1	1	2	8
			16			x		20	1	1	2	8						1					x	x	x	x	x	x	x	x	x																x	x	x	x	x	x	x	x	strong		x	x	x	x	x	x	x	x	x	x	10000	1000000	3	3000	6000	6	500	3000	9	16	5	10000			1	1	2	8
			5		x			20	1	1	2	8	5		1		4	1				x	x	x	x	x	x	x	x	x	x	2	1	2	1	1	1	1	3	3	3	3	3	3	3	x									strong		x	x	x	x	x	x	x	x	x	x	10000	1000000	1	3000	6000	6	500	3000	9	5	17	160000			1	1	2	8
			17			x		25	1	1	2	8																																									x		strong		x	x	x	x	x	x	x	x	x	x	15000	1000000	3	10000	15000	6	3000	6000	9	17	18	20000			1	1	2	8
			18			x		25	1	1	2	8						1					x	x	x	x	x	x	x	x	x																x	x	x	x	x	x	x	x	strong		x	x	x	x	x	x	x	x	x	x	10000	1000000	3	3000	6000	6	500	3000	9	18	6	10000			1	1	2	8
			6		x			25	1	1	2	8	6		1		4	1				x	x	x	x	x	x	x	x	x	x	2	1	2	1	1	1	1	3	3	3	3	3	3	3	x									strong		x	x	x	x	x	x	x	x	x	x	10000	1000000	1	3000	6000	6	500	3000	9	6	19	320000			1	1	2	8
			19			x		30	1	1	2	8																																									x		strong		x	x	x	x	x	x	x	x	x	x	15000	1000000	3	10000	15000	6	3000	6000	9	19	20	20000			1	1	2	8
			20			x		30	1	1	2	8						1					x	x	x	x	x	x	x	x	x																x	x	x	x	x	x	x	x	strong		x	x	x	x	x	x	x	x	x	x	10000	1000000	3	3000	6000	6	500	3000	9	20	7	10000			1	1	2	8
			7		x			30	1	1	2	8	7		1		4	1				x	x	x	x	x	x	x	x	x	x	2	1	2	1	1	1	1	3	3	3	3	3	3	3	x									strong		x	x	x	x	x	x	x	x	x	x	10000	1000000	1	3000	6000	6	500	3000	9	7	21	640000			1	1	2	8
			21			x		35	1	1	2	8																																									x		strong		x	x	x	x	x	x	x	x	x	x	15000	1000000	3	10000	15000	6	3000	6000	9	21	22	20000			1	1	2	8
			22			x		35	1	1	2	8						1					x	x	x	x	x	x	x	x	x																x	x	x	x	x	x	x	x	strong		x	x	x	x	x	x	x	x	x	x	10000	1000000	3	3000	6000	6	500	3000	9	22	8	10000			1	1	2	8
